Name,Full Address,Phone,Website,Email,Category - Bar/Restaurant / Wholesaler / Hotel / Retail Shop
SCOTTS – Caprice ,"20 Mount Street, London W1K 2HE. ",,https://scotts-mayfair.com/ ,,Restaurant
SCOTTS RICHMOND – Caprice,"4 Whittaker Avenue, Richmond TW9 1EH. ",,https://scotts-richmond.com/ ,,Restaurant
Sexy Fish Manchester,"1 The Avenue, Spinningfields, Manchester M3 3AP",,https://sexyfishmanchester.com,,Restaurant
Baraka,"Unit 4, 1 Finsbury Avenue, London EC2M 2PF",,https://www.barakarestaurant.co.uk/,,Restaurant
Barworks Soho Ltd – Two Floors,"43–45 Great Marlborough St, London W1F 7JY",,https://barworkssoho.com/,,Bar
Bubbledogs & Ltd,"79–81 Shoreditch High St, London E1 6JF",,https://www.bubbledogs.co.uk/,,Restaurant
Callooh Callay,"65 Rivington Street, London EC2A 3AY ",,https://calloohcallaybar.com/ ,,Bar
Chelsea Grill ,"69 Cadogan Pl, Chelsea, London SW1X 0JT",,https://www.belmond.com/,,Restaurant 
German Kraft Brewing Ltd,"Peckham Levels, 95A Rye Ln, London SE15 4ST",,https://www.germankraft.com/,,Brewery
The Hand & Flowers,"126 West Street, Marlow SL7 2BP ",,https://thehandandflowers.co.uk/ ,,Restaurant
The Marksman,"254 Hackney Road, London E2 7SJ ",,https://www.marksmanpublichouse.com/ ,,Pub / Restaurant
Little Bat,"45 Lower Sloane St, London SW1W 8DJ",,https://littlebatbar.com/,,Bar
Nest Morning Lane – Nest,"177–179 Morning Lane, London E9 6LH. ",,https://nestfood.co.uk/ ,,Restaurant
Regents Park Open Air Theatre,"Inner Circle, Regent’s Park, London NW1 4NU. ",,https://openairtheatre.com/ ,,Venue / Entertainment
Royal Garden Hotel Limited,"2–24 Kensington High Street, London W8 4PT. ",,https://www.royalgardenhotel.co.uk/ ,,Hotel
Sloane Gardens Hotel ,"60–62 Sloane Gardens, Chelsea, London SW1W 8RN",,https://www.sloaneplace.com,,Hotel
SpaceTalk,"18–20 St John Street, Barbican, London EC1M 4AY",,www.spacetalklondon.com,,Event / Production Venue
Vermuteria – Coal Drops Yard,"38/39 Stable Street, Coal Drops Yard, London N1C 4DQ",,https://vermuteria.cc/,,Bar / Restaurant
WILD Notting Hill,"155 Westbourne Grove, London W11 2RR",,https://www.wildnottinghill.com/,,Restaurant
Core ,"92 Kensington Park Road, London W11 2PN. ",,https://corebyclaresmyth.com/ ,,Restaurant
Liquid Gold Whisky Company Ltd,"88 The Street, Ashtead KT21 1AW. ",,https://www.liquidgoldwhiskyco.com/ ,,Retail 
Sipello,"Old Gunn Court,  1  North Street,  Dorking,  Surrey,  RH4 1DE",,https://www.sipello.com/,,Wholesaler
Wild & Lees,"2 Half Moon Lane, London, SE24 9HU, United Kingdom",,http://www.wildandlees.com,,Bar
Earl of Derby,"87 Dennett’s Road, London, SE14 5LW, United Kingdom",,http://www.earlofderby.uk,,Bar
Mele e Pere,"46 Brewer Street, London, W1F 9TF, United Kingdom",,http://www.meleepere.co.uk,,Restaurant
These Days,"100 Druid Street, London, SE1 2HQ, United Kingdom",,https://thesedaysdrinks.com/pages/these-days-bar,,Bar
Raffles London,"Raffles London at The OWO, 57 Whitehall, London, SW1A 2BX, United Kingdom",,https://www.raffles.com/london/?goto=fiche_hotel&code_hotel=B1C0&merchantid=seo-maps-GB-B1C0&sourceid=aw-cen,,Hotel
Chalk Rest ,"North Farm, Washington, West Sussex, RH20 4BB, United Kingdom",,https://www.wistonestate.com/chalk-restaurant/,,Restaurant
Page & sons,"47–51 Hopes Lane, Ramsgate, CT12 6UW",,https://pageandsons.co.uk/,,Retail Shop
Salsa Rose,"49 Lockhurst Street, London, E5 0AP",,https://salsarose.co.uk/,,Wholesaler
Mary's Sandwich Shop Limited,"Marys Sandwich Shop, The Parade , Sandsend, Whitby, North Yorkshire, YO21 3SZ",,https://www.maryssandwichshop.co.uk,,Restaurant
Hawksmoor,"122–124 Golden Lane, London, EC1Y 0TL",,https://thehawksmoor.com/,,Restaurant
Cinder Restaurants Limited,"66 Belsize Lane, London, NW3 5BJ",,https://www.cinderrestaurant.co.uk/,,Restaurant
Gore Hotel,"190 Queen’s Gate, Kensington, London, SW7 5EX",,https://collezione.starhotels.com/en/our-hotels/the-gore-london/,,Hotel
Mad Cats Collective Ltd,"107 Redchurch Street, Shoreditch, London, E2 7DL",,https://www.madcats.uk,,Bar
The Holland,"25 Earls Court Road, London, W8 6EB",,https://thehollandkensington.co.uk/,,Hotel
The Chalk Free House Ltd,"27 Tryon Street, Chelsea, London, SW3 3LG",,https://thechalkfreehouse.co.uk,,Restaurant
Bard Books,"341–343 Roman Road, London, E3 5QR",,https://wearebardbooks.co.uk,,Retail Shop
Belmond Britannic Explorer Limited,"Wogan House, 99 Great Portland Street, London, W1W 7NY",,https://www.belmond.com/trains/europe/uk/britannic-explorer,,Hotel
Venus,"12–14 Christchurch Road, Colliers Wood, London, SW19 2NX",,http://venusbar.co.uk,,Bar
Gonzo,"68 London Street, Norwich, NR2 1JT",,https://www.gonzostearoom.com/,,Bar
